5.00E+00	4.70E+00	5.45E+00	9.95E+00	1.47E+01	1.59E+01	1.33E+01	1.12E+01	1.04E+01	1.21E+01	1.25E+01	1.11E+01	9.97E+00	9.37E+00	1.00E+01	1.09E+01
8.93E+00	9.63E+00	1.85E+01	2.64E+01	2.84E+01	2.75E+01	2.57E+01	2.43E+01	2.26E+01	2.32E+01	2.19E+01	2.15E+01	2.09E+01	1.76E+01	1.72E+01	1.73E+01
2.89E+01	2.67E+01	3.13E+01	3.12E+01	2.86E+01	2.87E+01	3.27E+01	3.04E+01	2.88E+01	2.54E+01	2.67E+01	2.63E+01	2.44E+01	2.54E+01	2.24E+01	2.47E+01
4.47E+01	5.09E+01	4.26E+01	3.39E+01	3.33E+01	3.56E+01	3.65E+01	3.92E+01	3.59E+01	3.22E+01	3.08E+01	3.03E+01	2.88E+01	3.07E+01	3.10E+01	2.67E+01
6.19E+01	5.81E+01	4.84E+01	4.28E+01	3.92E+01	4.16E+01	4.26E+01	4.27E+01	4.21E+01	3.96E+01	3.57E+01	3.57E+01	3.83E+01	3.46E+01	3.37E+01	3.63E+01
6.12E+01	6.27E+01	5.36E+01	4.99E+01	5.02E+01	4.91E+01	4.92E+01	4.97E+01	4.78E+01	4.43E+01	4.03E+01	4.04E+01	4.23E+01	3.95E+01	3.59E+01	3.58E+01
4.96E+01	5.39E+01	5.98E+01	5.66E+01	5.51E+01	5.07E+01	5.13E+01	4.84E+01	4.88E+01	4.87E+01	4.16E+01	3.86E+01	3.95E+01	4.05E+01	4.48E+01	3.65E+01
5.49E+01	4.63E+01	5.72E+01	5.86E+01	5.69E+01	5.40E+01	5.09E+01	5.51E+01	5.35E+01	4.68E+01	4.71E+01	4.34E+01	3.96E+01	4.32E+01	4.68E+01	4.54E+01
6.36E+01	6.46E+01	6.13E+01	6.47E+01	6.09E+01	5.91E+01	5.56E+01	5.58E+01	5.50E+01	5.35E+01	5.33E+01	4.70E+01	4.15E+01	4.68E+01	4.55E+01	5.30E+01
5.48E+01	6.11E+01	5.87E+01	6.18E+01	5.86E+01	5.83E+01	5.97E+01	5.35E+01	5.61E+01	6.08E+01	5.68E+01	5.37E+01	5.01E+01	5.25E+01	5.29E+01	5.77E+01
4.47E+01	5.72E+01	5.97E+01	6.21E+01	6.00E+01	5.79E+01	5.69E+01	5.30E+01	5.61E+01	6.12E+01	6.02E+01	5.76E+01	5.94E+01	5.39E+01	5.61E+01	5.89E+01
4.84E+01	5.70E+01	6.43E+01	6.05E+01	6.28E+01	6.20E+01	5.71E+01	5.92E+01	5.64E+01	5.93E+01	6.27E+01	6.48E+01	6.32E+01	5.87E+01	6.35E+01	6.52E+01
8.88E+01	5.63E+01	5.82E+01	5.63E+01	6.14E+01	6.17E+01	5.98E+01	6.02E+01	6.12E+01	5.98E+01	6.48E+01	6.79E+01	6.86E+01	6.43E+01	6.38E+01	7.37E+01
5.96E+01	6.04E+01	5.70E+01	5.56E+01	5.88E+01	5.86E+01	5.75E+01	5.97E+01	6.17E+01	6.38E+01	6.76E+01	6.97E+01	7.21E+01	7.11E+01	6.58E+01	6.57E+01
5.23E+01	6.19E+01	5.53E+01	5.97E+01	5.89E+01	5.79E+01	6.00E+01	5.90E+01	5.62E+01	6.12E+01	6.53E+01	7.22E+01	7.13E+01	6.83E+01	6.80E+01	5.75E+01
